TIME,%CPU,MEM
2024-03-21 17:02:21,697.5,1308.0859375
2024-03-21 17:02:22,695.1,1308.0859375
2024-03-21 17:02:23,699.1,1308.0859375
2024-03-21 17:02:24,686.1,1308.2421875
2024-03-21 17:02:25,692.0,1282.3984375
2024-03-21 17:02:26,688.0,1282.5546875
2024-03-21 17:02:27,697.2,1296.3046875
2024-03-21 17:02:28,702.0,1502.0859375
2024-03-21 17:02:29,711.9,1483.4296875
2024-03-21 17:02:30,689.2,1497.6484375
2024-03-21 17:02:31,679.0,1483.44921875
2024-03-21 17:02:32,682.9,1483.44921875
2024-03-21 17:02:33,692.3,1483.44921875
2024-03-21 17:02:34,682.0,1483.44921875
2024-03-21 17:02:35,686.9,1483.44921875
2024-03-21 17:02:36,698.1,1483.44921875
2024-03-21 17:02:37,705.8,1483.60546875
2024-03-21 17:02:38,683.1,1483.76171875
2024-03-21 17:02:39,690.6,1483.76171875
2024-03-21 17:02:40,681.0,1483.76171875
2024-03-21 17:02:41,693.1,1483.76171875
2024-03-21 17:02:42,683.1,1483.91796875
2024-03-21 17:02:43,685.0,1483.91796875
2024-03-21 17:02:44,693.1,1483.91796875
2024-03-21 17:02:45,706.1,1483.91796875
2024-03-21 17:02:46,690.0,1483.91796875
2024-03-21 17:02:47,689.1,1483.91796875
2024-03-21 17:02:48,684.0,1508.44921875
2024-03-21 17:02:49,690.6,1508.44921875
2024-03-21 17:02:50,691.0,1508.44921875
2024-03-21 17:02:51,694.0,1508.44921875
2024-03-21 17:02:52,698.0,1508.44921875
2024-03-21 17:02:53,700.5,1508.44921875
2024-03-21 17:02:54,687.5,1508.44921875
2024-03-21 17:02:55,693.1,1484.09375
2024-03-21 17:02:56,691.0,1484.09375
2024-03-21 17:02:57,680.2,1484.71875
2024-03-21 17:02:58,677.1,1497.375
2024-03-21 17:02:59,690.9,1484.49609375
2024-03-21 17:03:00,682.2,1484.49609375
2024-03-21 17:03:01,708.1,1484.65234375
2024-03-21 17:03:02,684.9,1484.80859375
2024-03-21 17:03:03,687.2,1484.80859375
2024-03-21 17:03:04,691.0,1484.80859375
2024-03-21 17:03:05,693.1,1484.80859375
2024-03-21 17:03:06,682.2,1485.12109375
2024-03-21 17:03:07,685.1,1504.49609375
2024-03-21 17:03:08,678.0,1484.93359375
2024-03-21 17:03:09,691.2,1484.93359375
2024-03-21 17:03:10,697.0,1485.08984375
2024-03-21 17:03:11,695.0,1499.30859375
2024-03-21 17:03:12,678.3,1485.89453125
2024-03-21 17:03:13,687.0,1486.05078125
2024-03-21 17:03:14,685.1,1486.05078125
2024-03-21 17:03:15,693.2,1486.05078125
2024-03-21 17:03:16,700.0,1486.05078125
2024-03-21 17:03:17,704.0,1486.05078125
2024-03-21 17:03:18,678.2,1486.20703125
2024-03-21 17:03:19,697.0,1486.20703125
2024-03-21 17:03:20,690.0,1486.20703125
2024-03-21 17:03:21,694.2,1486.20703125
2024-03-21 17:03:22,696.0,1531.98828125
2024-03-21 17:03:23,680.0,1535.26953125
2024-03-21 17:03:24,690.2,1506.44921875
2024-03-21 17:03:25,693.0,1506.44921875
2024-03-21 17:03:26,680.0,1506.44921875
2024-03-21 17:03:27,692.2,1506.44921875
2024-03-21 17:03:28,691.0,1506.44921875
2024-03-21 17:03:29,679.1,1506.44921875
2024-03-21 17:03:30,693.2,1506.44921875
2024-03-21 17:03:31,687.1,1506.44921875
2024-03-21 17:03:32,696.1,1506.60546875
2024-03-21 17:03:33,698.1,1520.19921875
2024-03-21 17:03:34,686.1,1520.19921875
2024-03-21 17:03:35,685.9,1506.97265625
2024-03-21 17:03:36,690.2,1506.97265625
2024-03-21 17:03:37,690.1,1506.97265625
2024-03-21 17:03:38,692.0,1506.97265625
2024-03-21 17:03:39,692.1,1506.97265625
2024-03-21 17:03:40,678.1,1506.97265625
2024-03-21 17:03:41,688.8,1506.97265625
2024-03-21 17:03:42,687.3,1506.97265625
2024-03-21 17:03:43,683.0,1523.84765625
2024-03-21 17:03:44,683.1,1506.9296875
2024-03-21 17:03:45,705.1,1506.9296875
2024-03-21 17:03:46,681.7,1506.9296875
2024-03-21 17:03:47,683.5,1507.7109375
2024-03-21 17:03:48,682.0,1522.8671875
2024-03-21 17:03:49,675.1,1508.38671875
2024-03-21 17:03:50,687.2,1508.38671875
2024-03-21 17:03:51,676.0,1508.38671875
2024-03-21 17:03:52,689.0,1508.69921875
2024-03-21 17:03:53,695.3,1508.85546875
2024-03-21 17:03:54,688.1,1508.85546875
2024-03-21 17:03:55,677.0,1508.85546875
2024-03-21 17:03:56,683.1,1508.85546875
2024-03-21 17:03:57,679.1,1509.01171875
2024-03-21 17:03:58,673.1,1509.01171875
2024-03-21 17:03:59,684.1,1509.01171875
2024-03-21 17:04:00,685.1,1509.16796875
2024-03-21 17:04:01,676.0,1509.16796875
2024-03-21 17:04:02,691.1,1509.16796875
2024-03-21 17:04:03,682.1,1509.16796875
2024-03-21 17:04:04,676.1,1509.16796875
2024-03-21 17:04:05,696.1,1509.16796875
2024-03-21 17:04:06,683.0,1509.32421875
2024-03-21 17:04:07,703.0,1509.32421875
2024-03-21 17:04:08,680.2,1539.48046875
2024-03-21 17:04:09,686.1,1509.4375
2024-03-21 17:04:10,678.0,1509.4375
2024-03-21 17:04:11,679.2,1509.59375
2024-03-21 17:04:12,689.1,1509.59375
2024-03-21 17:04:13,677.9,1509.59375
2024-03-21 17:04:14,698.3,1509.59375
2024-03-21 17:04:15,707.0,1509.59375
2024-03-21 17:04:16,680.1,1509.59375
2024-03-21 17:04:17,680.2,1509.59375
2024-03-21 17:04:18,680.1,1509.59375
2024-03-21 17:04:19,674.0,1509.59375
2024-03-21 17:04:20,686.2,1509.59375
